"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 25, 2022","10.5880","10.6761","10.9214","10.3350","1.93M","-0.82%"
"Jan 24, 2022","10.6757","11.4223","11.4277","9.5422","5.42M","-6.54%"
"Jan 23, 2022","11.4223","11.1471","11.9135","10.8315","3.51M","2.47%"
"Jan 22, 2022","11.1471","12.6430","12.9677","10.4099","6.30M","-12.02%"
"Jan 21, 2022","12.6702","14.4777","14.6715","12.3413","4.22M","-12.50%"
"Jan 20, 2022","14.4804","15.1193","16.1720","14.4013","1.93M","-4.26%"
"Jan 19, 2022","15.1249","15.9913","16.2110","15.1249","1.76M","-5.44%"
"Jan 18, 2022","15.9944","16.6455","17.6850","15.6311","3.28M","-3.87%"
"Jan 17, 2022","16.6385","17.8254","17.9546","16.2470","2.34M","-6.65%"
"Jan 16, 2022","17.8230","16.4784","18.1538","16.3088","2.69M","8.16%"
"Jan 15, 2022","16.4784","15.8588","16.7016","15.7219","1.72M","3.90%"
"Jan 14, 2022","15.8596","15.4365","15.9493","15.1629","1.50M","2.74%"
"Jan 13, 2022","15.4365","16.2817","16.5874","15.4021","2.11M","-5.19%"
"Jan 12, 2022","16.2817","15.9616","16.6084","15.9601","1.89M","2.01%"
"Jan 11, 2022","15.9616","15.1241","16.3043","14.9814","2.42M","5.49%"
"Jan 10, 2022","15.1310","15.7997","16.4361","14.6654","3.67M","-4.23%"
"Jan 09, 2022","15.7997","14.9263","16.2872","14.8164","1.94M","5.85%"
"Jan 08, 2022","14.9263","15.7386","16.1904","14.5559","2.23M","-5.12%"
"Jan 07, 2022","15.7313","17.0866","17.1510","15.2824","3.83M","-7.93%"
"Jan 06, 2022","17.0866","17.1071","17.2565","16.1237","3.77M","-0.10%"
"Jan 05, 2022","17.1037","18.2172","19.8353","16.3333","5.68M","-6.11%"
"Jan 04, 2022","18.2172","18.4519","19.1365","17.7057","3.56M","-1.25%"
"Jan 03, 2022","18.4486","18.4089","19.1606","17.8700","3.29M","0.22%"
"Jan 02, 2022","18.4089","17.4715","18.4919","17.0563","1.68M","5.37%"
"Jan 01, 2022","17.4715","17.0125","17.5427","16.9497","1.80M","2.65%"
"Dec 31, 2021","17.0196","17.7962","18.6379","16.7730","3.35M","-4.36%"
"Dec 30, 2021","17.7962","17.1302","17.8800","16.7549","2.47M","3.91%"
"Dec 29, 2021","17.1270","18.3862","19.4517","16.9266","5.72M","-6.85%"
"Dec 28, 2021","18.3862","19.1032","19.9154","17.7947","5.88M","-3.73%"
"Dec 27, 2021","19.0977","18.6485","20.0656","18.5468","4.08M","2.41%"
"Dec 26, 2021","18.6482","17.4622","18.7806","16.7172","3.10M","6.79%"
"Dec 25, 2021","17.4622","17.4834","17.8354","17.0878","2.17M","-0.12%"
"Dec 24, 2021","17.4834","18.1582","18.2719","17.2446","3.69M","-3.64%"
"Dec 23, 2021","18.1437","16.2177","18.2481","15.9204","5.70M","11.82%"
"Dec 22, 2021","16.2252","15.0683","16.3756","14.9708","3.30M","7.68%"
"Dec 21, 2021","15.0683","14.4914","15.1011","14.3187","1.69M","3.98%"
"Dec 20, 2021","14.4914","14.9623","15.1606","13.9799","3.00M","-3.15%"
"Dec 19, 2021","14.9623","15.5786","15.9562","14.8439","2.44M","-3.96%"
"Dec 18, 2021","15.5789","14.9757","16.0995","14.6812","3.84M","3.88%"
"Dec 17, 2021","14.9968","14.4101","15.0870","13.6925","2.55M","4.07%"
"Dec 16, 2021","14.4101","15.1843","15.3679","14.3628","2.77M","-5.09%"
"Dec 15, 2021","15.1834","15.0007","15.4978","14.1845","2.85M","1.22%"
"Dec 14, 2021","15.0007","14.1573","15.0603","13.9308","2.02M","5.96%"
"Dec 13, 2021","14.1573","16.0345","16.0879","13.7635","3.25M","-11.71%"
"Dec 12, 2021","16.0345","15.8911","16.1862","15.2715","1.42M","1.08%"
"Dec 11, 2021","15.8637","15.1491","16.7257","14.9741","3.60M","4.72%"
"Dec 10, 2021","15.1491","16.1800","16.5223","15.1285","3.61M","-6.46%"
"Dec 09, 2021","16.1960","18.7410","18.7618","16.1260","3.27M","-13.43%"
"Dec 08, 2021","18.7093","17.1732","18.7093","16.9763","3.94M","8.87%"
"Dec 07, 2021","17.1844","17.3371","17.6419","16.9295","3.06M","-0.88%"
"Dec 06, 2021","17.3371","16.5333","17.4778","15.1814","4.08M","4.89%"
"Dec 05, 2021","16.5294","17.2133","17.4609","15.8917","3.52M","-4.03%"
"Dec 04, 2021","17.2243","19.9543","20.0202","13.4349","11.09M","-13.68%"
"Dec 03, 2021","19.9543","22.4409","23.0090","19.4420","4.42M","-11.10%"
"Dec 02, 2021","22.4455","20.9501","23.0288","20.5477","5.95M","7.13%"
"Dec 01, 2021","20.9516","21.2394","22.2662","20.7815","2.85M","-1.36%"
"Nov 30, 2021","21.2394","20.2690","21.4416","19.6076","2.74M","4.75%"
"Nov 29, 2021","20.2760","20.1141","20.4670","19.6856","1.87M","0.51%"
"Nov 28, 2021","20.1741","19.5019","20.2399","18.5068","2.64M","3.45%"
"Nov 27, 2021","19.5019","19.2231","20.1237","19.2231","1.41M","1.45%"
"Nov 26, 2021","19.2231","21.3691","21.4461","18.7353","3.47M","-10.04%"
"Nov 25, 2021","21.3691","20.8121","21.6234","20.5932","2.38M","2.64%"
"Nov 24, 2021","20.8197","22.2167","22.3094","20.5418","2.27M","-6.29%"
"Nov 23, 2021","22.2183","20.9546","22.3245","20.7660","2.36M","6.00%"
"Nov 22, 2021","20.9602","21.6282","22.2530","20.7459","3.31M","-3.16%"
"Nov 21, 2021","21.6437","22.0201","22.1659","21.3873","1.52M","-1.71%"
"Nov 20, 2021","22.0201","21.2050","22.0201","20.9322","1.92M","3.84%"
"Nov 19, 2021","21.2050","20.0985","21.3114","19.7837","2.17M","5.51%"
"Nov 18, 2021","20.0985","21.8901","22.2377","19.6436","3.56M","-8.20%"
"Nov 17, 2021","21.8941","21.6901","21.9244","21.0663","2.91M","0.94%"
"Nov 16, 2021","21.6901","23.9990","23.9990","20.4289","6.77M","-9.63%"
"Nov 15, 2021","24.0009","24.5665","24.9765","23.8584","2.75M","-2.28%"
"Nov 14, 2021","24.5610","24.6579","24.9659","24.0222","1.46M","-0.40%"
"Nov 13, 2021","24.6585","24.5689","24.8000","24.1732","1.41M","0.36%"
"Nov 12, 2021","24.5689","25.3966","25.6929","23.8992","2.73M","-3.26%"
"Nov 11, 2021","25.3966","25.2716","26.1085","24.9201","2.84M","0.26%"
"Nov 10, 2021","25.3301","26.3552","28.4484","24.2387","7.88M","-3.87%"
"Nov 09, 2021","26.3493","26.2502","27.7421","26.0243","5.29M","0.38%"
"Nov 08, 2021","26.2502","25.2956","26.3517","25.2133","3.41M","3.77%"
"Nov 07, 2021","25.2956","25.1467","25.4972","24.9688","1.37M","0.59%"
"Nov 06, 2021","25.1467","25.5746","25.7901","24.4770","2.04M","-1.63%"
"Nov 05, 2021","25.5636","25.7583","26.0803","25.2625","2.70M","-0.81%"
"Nov 04, 2021","25.7717","26.8274","27.4477","25.2575","3.91M","-3.94%"
"Nov 03, 2021","26.8274","26.1678","27.0291","25.3854","4.18M","2.62%"
"Nov 02, 2021","26.1412","25.6154","26.2995","25.1447","2.30M","2.04%"
"Nov 01, 2021","25.6175","24.9902","26.4560","24.1563","3.30M","2.51%"
"Oct 31, 2021","24.9902","24.8985","25.2621","24.0176","1.90M","0.42%"
"Oct 30, 2021","24.8851","25.5257","25.5619","24.4391","1.69M","-2.07%"
"Oct 29, 2021","25.4104","24.8905","25.7962","24.6862","2.41M","2.08%"
"Oct 28, 2021","24.8915","24.1273","25.3475","23.9566","4.10M","3.17%"
"Oct 27, 2021","24.1273","26.5521","28.2969","23.6560","7.32M","-9.18%"
"Oct 26, 2021","26.5654","26.7386","28.2691","26.1614","5.45M","-0.63%"
"Oct 25, 2021","26.7346","25.7917","26.7346","25.6996","1.94M","3.66%"
"Oct 24, 2021","25.7917","26.8462","27.2281","25.3799","2.32M","-3.93%"
"Oct 23, 2021","26.8475","25.6329","26.8769","25.2859","2.12M","4.72%"
"Oct 22, 2021","25.6376","26.0997","26.8581","25.3387","2.08M","-1.77%"
"Oct 21, 2021","26.0997","27.1250","27.7374","25.8575","3.33M","-3.76%"
"Oct 20, 2021","27.1192","26.0267","27.1192","25.5565","2.71M","4.17%"
"Oct 19, 2021","26.0332","25.6599","26.2932","25.2717","2.16M","1.45%"
"Oct 18, 2021","25.6599","25.9110","26.2405","24.8906","2.31M","-0.97%"
"Oct 17, 2021","25.9110","27.0388","27.1270","25.0526","3.43M","-4.17%"
"Oct 16, 2021","27.0388","25.8868","27.9070","25.7604","5.10M","4.45%"
"Oct 15, 2021","25.8868","26.4127","26.8399","25.4084","4.80M","-1.99%"
"Oct 14, 2021","26.4127","24.6786","26.4470","24.5387","5.36M","7.03%"
"Oct 13, 2021","24.6786","23.4550","25.7246","23.1823","8.05M","5.25%"
"Oct 12, 2021","23.4471","24.1686","24.1687","22.3052","2.96M","-3.00%"
"Oct 11, 2021","24.1730","24.1649","25.0514","23.5508","2.94M","0.03%"
"Oct 10, 2021","24.1649","25.1325","25.9844","24.1100","3.37M","-3.85%"
"Oct 09, 2021","25.1325","24.7662","25.6568","24.5578","2.38M","1.54%"
"Oct 08, 2021","24.7516","25.5103","26.0927","24.6394","3.34M","-2.91%"
"Oct 07, 2021","25.4932","25.2458","26.2661","24.5095","3.73M","0.98%"
"Oct 06, 2021","25.2458","25.6338","26.0198","23.8303","4.42M","-1.51%"
"Oct 05, 2021","25.6338","25.3357","25.8645","24.5821","3.46M","1.19%"
"Oct 04, 2021","25.3324","26.0054","26.0078","24.2860","4.39M","-2.59%"
"Oct 03, 2021","26.0054","26.1361","26.5920","25.7106","3.65M","-0.52%"
"Oct 02, 2021","26.1420","25.6384","27.1992","25.3828","6.91M","1.96%"
"Oct 01, 2021","25.6384","23.5332","25.7969","23.4898","7.51M","8.95%"
"Sep 30, 2021","23.5332","23.0132","23.9335","22.6480","5.16M","2.25%"
"Sep 29, 2021","23.0146","23.0801","24.2525","22.4101","8.31M","-0.26%"
"Sep 28, 2021","23.0746","22.3882","24.9540","22.2263","15.71M","3.08%"
"Sep 27, 2021","22.3854","24.0935","25.9838","22.2763","14.87M","-7.09%"
"Sep 26, 2021","24.0935","19.4689","24.6984","17.7503","22.05M","23.75%"
"Sep 25, 2021","19.4689","19.6489","20.0939","18.9561","3.56M","-0.98%"
"Sep 24, 2021","19.6611","21.4972","21.6140","18.2194","6.14M","-8.54%"
"Sep 23, 2021","21.4972","21.6278","21.8169","20.8893","2.88M","-0.60%"
"Sep 22, 2021","21.6278","19.0304","21.6346","18.8608","5.24M","13.65%"
"Sep 21, 2021","19.0304","20.8897","21.6194","18.3739","6.68M","-8.81%"
"Sep 20, 2021","20.8682","23.8862","23.9412","20.5324","6.24M","-12.63%"
"Sep 19, 2021","23.8862","24.5287","24.6257","23.5131","1.79M","-2.62%"
"Sep 18, 2021","24.5287","24.2869","25.1781","23.9508","2.32M","1.00%"
"Sep 17, 2021","24.2869","26.2331","26.3693","24.0154","4.78M","-7.40%"
"Sep 16, 2021","26.2290","27.4537","27.5913","25.3912","6.00M","-4.46%"
"Sep 15, 2021","27.4537","25.6458","27.4537","24.7030","6.35M","7.11%"
"Sep 14, 2021","25.6305","22.6562","25.8751","22.5044","6.16M","13.13%"
